120102 Tom          Zhou               M  Sales Manager        $108,255 AU 08/11/1969 06/01/1989
120103 Wilson       Dawes              M  Sales Manager         $87,975 AU 01/22/1949 01/01/1974
120121 Irenie       Elvish             F  Sales Rep. II         $26,600 AU 08/02/1944 01/01/1974
120122 Christina    Ngan               F  Sales Rep. II         $27,475 AU 07/27/1954 07/01/1978
120123 Kimiko       Hotstone           F  Sales Rep. I          $26,190 AU 09/28/1964 10/01/2007
120124 Lucian       Daymond            M  Sales Rep. I          $26,480 AU 05/13/1959 03/01/2007
120125 Fong         Hofmeister         M  Sales Rep. IV         $32,040 AU 12/06/1954 03/01/1979
120126 Satyakam     Denny              M  Sales Rep. II         $26,780 AU 09/20/1988 08/01/2006
120127 Sharryn      Clarkson           F  Sales Rep. II         $28,100 AU 01/04/1979 11/01/1998
120128 Monica       Kletschkus         F  Sales Rep. IV         $30,890 AU 07/14/1986 11/01/2006
120129 Alvin        Roebuck            M  Sales Rep. III        $30,070 AU 11/22/1964 10/01/1985
120130 Kevin        Lyon               M  Sales Rep. I          $26,955 AU 12/14/1984 05/01/2007
120131 Marinus      Surawski           M  Sales Rep. I          $26,910 AU 09/25/1979 01/01/2007
120132 Fancine      Kaiser             F  Sales Rep. III        $28,525 AU 04/05/1949 10/01/1978
120133 Petrea       Soltau             F  Sales Rep. II         $27,440 AU 04/22/1986 10/01/2006
120134 Sian         Shannan            M  Sales Rep. II         $28,015 AU 06/06/1949 01/01/1974
120135 Alexei       Platts             M  Sales Rep. IV         $32,490 AU 01/26/1969 10/01/1997
120136 Atul         Leyden             M  Sales Rep. I          $26,605 AU 09/16/1979 02/01/2007
120137 Marina       Iyengar            F  Sales Rep. III        $29,715 AU 03/12/1979 03/01/2006
120138 Shani        Duckett            F  Sales Rep. I          $25,795 AU 07/11/1979 07/01/2007
120139 Fang         Wilson             F  Sales Rep. II         $26,810 AU 08/18/1986 09/01/2006
120140 Michael      Minas              M  Sales Rep. I          $26,970 AU 08/03/1988 10/01/2007
120141 Amanda       Liebman            F  Sales Rep. II         $27,465 AU 03/12/1988 05/01/2006
120142 Vincent      Eastley            M  Sales Rep. III        $29,695 AU 06/14/1986 07/01/2006
120143 Phu          Sloey              M  Sales Rep. II         $26,790 AU 05/17/1959 10/01/1982
120144 Viney        Barbis             M  Sales Rep. III        $30,265 AU 03/07/1986 10/01/2006
120145 Sandy        Aisbitt            M  Sales Rep. II         $26,060 AU 01/22/1964 06/01/1985
120146 Wendall      Cederlund          M  Sales Rep. I          $25,985 AU 10/02/1959 08/01/2007
120147 Skev         Rusli              F  Sales Rep. II         $26,580 AU 01/19/1988 10/01/2006
120148 Michael      Zubak              M  Sales Rep. III        $28,480 AU 09/13/1949 06/01/1978
120149 Judy         Chantharasy        F  Sales Rep. I          $26,390 AU 11/21/1974 01/01/2007
120150 John         Filo               M  Sales Rep. III        $29,965 AU 07/09/1954 08/01/1982
120151 Julianna     Phaiyakounh        F  Sales Rep. II         $26,520 AU 11/21/1944 01/01/1974
120152 Sean         Dives              M  Sales Rep. I          $26,515 AU 05/01/1979 04/01/2007
120153 Samantha     Waal               F  Sales Rep. I          $27,260 AU 05/07/1979 01/01/2007
120154 Caterina     Hayawardhana       F  Sales Rep. III        $30,490 AU 07/20/1944 01/01/1974
120155 Narelle      James              F  Sales Rep. III        $29,990 AU 04/22/1984 04/01/2006
120156 Gerry        Snellings          F  Sales Rep. I          $26,445 AU 09/01/1988 03/01/2007
120157 Leonid       Karavdic           M  Sales Rep. II         $27,860 AU 02/21/1986 12/01/2006
120158 Daniel       Pilgrim            M  Sales Rep. III        $36,605 AU 07/14/1964 07/01/1987
120159 Lynelle      Phoumirath         F  Sales Rep. IV         $30,765 AU 02/24/1964 07/01/1986
120160 Chuck        Segrave            M  Sales Rep. I          $27,115 AU 09/09/1954 10/01/2007
120161 Rosette      Martines           F  Sales Rep. III        $30,785 AU 03/07/1988 10/01/2006
120162 Randal       Scordia            M  Sales Rep. I          $27,215 AU 09/05/1988 02/01/2007
120163 Brett        Magrath            M  Sales Rep. II         $26,735 AU 05/22/1964 01/01/1991
120164 Ranj         Stamalis           F  Sales Rep. II         $27,450 AU 11/26/1959 02/01/1982
120165 Tadashi      Pretorius          M  Sales Rep. I          $27,050 AU 03/19/1984 03/01/2007
120166 Fadi         Nowd               M  Sales Rep. IV         $30,660 AU 06/14/1944 01/01/1974
120167 Kimiko       Tilley             F  Sales Rep. I          $25,185 AU 05/04/1954 02/01/2007
120168 Selina       Barcoe             F  Sales Rep. I          $25,275 AU 03/24/1984 11/01/2007
120169 Cos          Tannous            M  Sales Rep. III        $28,135 AU 01/02/1984 05/01/2006
120170 Alban        Kingston           M  Sales Rep. III        $28,830 AU 02/25/1974 10/01/1992
120171 Alena        Moody              F  Sales Rep. II         $26,205 AU 07/19/1984 09/01/2006
